merger,error_of_value,error_thermal,error_renewable,error_nsp,error_1_to_2,error_1_to_3,error_2_to_1,error_2_to_3,error_3_to_1,error_3_to_2,rel_error_of_value,rel_error_thermal,rel_error_renewable,rel_error_nsp,rel_error_1_to_2,rel_error_1_to_3,rel_error_2_to_1,rel_error_2_to_3,rel_error_3_to_1,rel_error_3_to_2
"['1', '2', '3', '4+5+6+7+8']",854504266.1133235,-152941.37766299397,-18705.0000000007,171646.37766300014,0.0,0.0,9563.622336989734,0.0,-181210.00000000035,162504.99999999948,0.9300798868219241,-0.06504657943205139,-0.015235626568436578,1.0,0.0,0.0,0.0034796535003068785,0.0,-0.21818522394332263,0.4091452826973071
"['1', '2', '3', '4+5+6+8', '7']",785275217.4216213,-146239.56860499363,-11525.000000000698,157764.56860500015,0.0,0.0,-21484.568605009932,0.0,-136280.00000000023,124754.99999999948,0.8547279566731885,-0.062196273243557254,-0.009387361464914923,0.9191255344446903,0.0,0.0,-0.007817001938675183,0.0,-0.16408742519174435,0.3141006107067629
"['1', '2', '3', '4+5+7', '6', '8']",146187372.99987066,-10595.51618799381,-18705.0000000007,29300.516188000038,0.0,0.0,-29300.516188010108,0.0,-2.3283064365386963e-10,-18705.000000000524,0.15911674256812014,-0.00450631539925439,-0.015235626568436578,0.17070279365595964,0.0,0.0,-0.010660776860674126,0.0,-2.220446049250313e-16,-0.04709432025385918
"['1', '2', '3', '4+5+7', '6+8']",740718711.8336475,-130077.6880229935,-18705.0000000007,148782.68802300014,0.0,0.0,-148782.68802301027,0.0,-4.656612873077393e-10,-18705.000000000524,0.8062307035664997,-0.05532256081130171,-0.015235626568436578,0.8667977154467591,0.0,0.0,-0.054133484460375136,0.0,-6.661338147750939e-16,-0.04709432025385918
"['1', '2', '3', '4+5+7+8', '6']",259972927.27954662,-33459.20582799427,-18705.0000000007,52164.20582800005,0.0,0.0,129045.79417198943,0.0,-181210.00000000035,162504.99999999948,0.2829659258235445,-0.014230334020004065,-0.015235626568436578,0.30390507820920065,0.0,0.0,0.04695236110000767,0.0,-0.21818522394332263,0.4091452826973071
"['1', '2', '3', '4+5+8', '6', '7']",190743878.5878445,-26757.39676999394,-11525.000000000698,38282.39677000005,0.0,0.0,97997.60322998976,0.0,-136280.00000000047,124754.99999999948,0.20761399567480887,-0.011380027831509931,-0.009387361464914923,0.2230306126538909,0.0,0.0,0.035655705661025605,0.0,-0.16408742519174457,0.3141006107067629
"['1', '2', '3', '4+5+8', '6+7']",414465620.5878446,-64507.39676999394,-18705.0000000007,83212.3967700001,0.0,0.0,97997.60322998976,0.0,-181210.00000000047,162504.99999999948,0.45112254294678766,-0.027435253768931744,-0.015235626568436578,0.4847897048743677,0.0,0.0,0.035655705661025605,0.0,-0.21818522394332263,0.4091452826973071
"['1', '2', '3', '4+6', '5', '7', '8']",510653710.99987125,-91050.51618799381,-11525.000000000698,102575.51618800017,0.0,0.0,-29300.516188010108,0.0,-73275.00000000012,61749.999999999476,0.5558178754241218,-0.038724148585884244,-0.009387361464914923,0.5975979078882199,0.0,0.0,-0.010660776860674126,0.0,-0.08822649017409057,0.1554704237196307
"['1', '2', '3', '4+6', '5', '7+8']",579882759.6915734,-97752.32524599321,-18705.0000000007,116457.32524600017,0.0,0.0,1747.67475399049,0.0,-118205.00000000035,99499.99999999948,0.6311698055728574,-0.041574454774378156,-0.015235626568436578,0.6784723734435297,0.0,0.0,0.0006358785783081577,0.0,-0.14232428892566906,0.25051509571017494
"['1', '2', '3', '4+6', '5+7', '8']",510803772.9998714,-83870.51618799381,-18705.0000000007,102575.5161880002,0.0,0.0,-29300.516188010108,0.0,-73275.00000000012,54569.999999999476,0.5559812094804994,-0.03567046587778666,-0.015235626568436578,0.5975979078882201,0.0,0.0,-0.010660776860674126,0.0,-0.08822649017409057,0.13739305299401194
"['1', '2', '3', '4+6', '5+7+8']",770378438.2794163,-136034.72201599367,-18705.0000000007,154739.72201600016,0.0,0.0,26470.277983990032,0.0,-181210.00000000023,162504.99999999948,0.8385136494917708,-0.057856111186785686,-0.015235626568436578,0.9015029860974202,0.0,0.0,0.009631015549917521,0.0,-0.2181852239433224,0.4091452826973071
"['1', '2', '3', '4+6', '5+8', '7']",701149389.5877141,-129332.91295799334,-11525.000000000698,140857.91295800015,0.0,0.0,-4577.9129580101,0.0,-136280.00000000023,124754.99999999948,0.763161719343035,-0.05500580499829155,-0.009387361464914923,0.8206285205421104,0.0,0.0,-0.0016656398890646518,0.0,-0.16408742519174435,0.3141006107067629
"['1', '2', '3', '4+6+7', '5', '8']",664008587.5254806,-114658.98089299351,-18705.0000000007,133363.98089300015,0.0,0.0,-15158.980893009808,0.0,-118205.00000000012,99499.99999999948,0.7227360429030107,-0.04876492301964386,-0.015235626568436578,0.7769693873461095,0.0,0.0,-0.005515483471302485,0.0,-0.14232428892566862,0.25051509571017494
